Título,Enlace,CVs inscritos,Ubicación,Funciones,Jornada,Experiencia,Tipo contrato,Salario Mínimo,Salario Máximo
Programador/a trazabilidad .NET,https://www.tecnoempleo.com/programador-trazabilidad-net-valencia/net/rf-3ad613480272132d7244,8,"Valencia											
											 - España",Programador,Jornada completa,3 años,Indefinido,27000,39000
Digital Marketing Manager,https://www.tecnoempleo.com/digital-marketing-manager-hibrido/marketing/rf-1bcd117c72d5a3302b49,15,Barcelona (Híbrido),Marketing,Jornada completa,Más de 5 años,Indefinido,,
Consultor/a SAP FI,https://www.tecnoempleo.com/consultor-sap-fi-hibrido/sap-sap-fi/rf-db56102c02ae03060a42,17,Madrid (Híbrido),Consultor,Jornada completa,3-5 años,Indefinido,39000,54000
Responsable Marketing,https://www.tecnoempleo.com/responsable-marketing-presencial/marketing/rf-09e11778c2d7034db447,14,Madrid (Presencial),Marketing,Jornada completa,2 años,Indefinido,24000,27000
Desarrollador Oracle APEX,https://www.tecnoempleo.com/desarrollador-oracle-apex-malaga/oracle-apex-pl-sql/rf-b0b71baae20213c7a543,11,"Málaga											
											 - España",Programador,Jornada completa,3 años,A determinar,,
C++ Scientific Programmer,https://www.tecnoempleo.com/c-scientific-programmer-remoto/c-c-python/rf-fb531033d2f5d3f22d4d,44,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,39000,45000
Java Software Engineer,https://www.tecnoempleo.com/java-software-engineer-remoto/java-api/rf-ed801e10f224a32a4a4c,35,100% En remoto,Programador,Jornada completa,3 años,Indefinido,30000,36000
Consultor/a BC fabricación,https://www.tecnoempleo.com/consultor-bc-fabricacion-hibrido/business-central/rf-f3341626f29b53604f4a,2,Bizkaia (Híbrido),Consultor,Jornada completa,3-5 años,Indefinido,,
Jefe de Proyecto,https://www.tecnoempleo.com/jefe-proyecto-hibrido/agile-scrum/rf-b8b81d9f326233348a42,15,Valencia (Híbrido),Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,,
Brand Specialist,https://www.tecnoempleo.com/brand-specialist-madrid/marketing/rf-14091c1152dc436c9e46,29,"Madrid											
											 - España",Marketing,Jornada completa,2 años,Temporal,24000,27000
Blockchain CMO (m/f/d),https://www.tecnoempleo.com/blockchain-cmo-m-f-d-remoto/blockchain/rf-286913656250d3a2a441,6,100% En remoto,Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,,
Consultor SAP senior PM,https://www.tecnoempleo.com/consultor-sap-senior-pm-presencial/sap-sap-pm/rf-5c9e143e623e93fb0f40,0,Madrid (Presencial),Consultor,Jornada completa,3-5 años,Indefinido,,
Java Developer Senior,https://www.tecnoempleo.com/java-developer-senior-hibrido/java-spring-kafka/rf-5a001ca942743356c04c,12,Madrid (Híbrido),Programador,Jornada completa,Más de 5 años,Indefinido,36000,45000
Cloud Engineer,https://www.tecnoempleo.com/cloud-engineer-presencial/cloud-vmware-openstack-ansible-terraform-java-ph/rf-b867164072a4a340604e,12,Madrid (Presencial),Arquitecto TIC,Jornada completa,3-5 años,Indefinido,,
Tecnico de redes con Italiano,https://www.tecnoempleo.com/tecnico-redes-con-italiano-valencia/vlan-vpn-windows/rf-f93d1b6ca2ae5313d146,5,"Valencia											
											 - España",Redes,Jornada completa,2 años,Indefinido,18000,21000
Desarrolladores/as APX - ASO,https://www.tecnoempleo.com/desarrolladores-apx-aso-hibrido/aso-apx/rf-78781d0d7262434b904d,0,Madrid (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
Programador/a Python,https://www.tecnoempleo.com/programador-python-hibrido/python/rf-5f3114a712f403a05a4f,31,Barcelona (Híbrido),Programador,Jornada completa,2 años,Indefinido,,
Soporte técnico (turno tarde),https://www.tecnoempleo.com/soporte-tecnico-turno-tarde-barcelona/zero-trust-directorio-activo-windows/rf-e7e81c8622141312dd43,28,"Barcelona											
											 - España",Soporte Técnico,Jornada completa,2 años,Indefinido,,
Administrador de Sistemas y Redes,https://www.tecnoempleo.com/administrador-sistemas-redes-barcelona/wlan-ptp/rf-1f9e1e75520d531f5246,69,"Barcelona											
											 - España",Redes,Jornada completa,2 años,Indefinido,24000,36000
SAP IS-U (SAP S/4HANA),https://www.tecnoempleo.com/sap-is-u-sap-s-4hana-barcelona/sap-sap-is-u-sap-s-4hana/rf-92cf168b1246231cd84f,9,"Barcelona											
											 - España",Consultor,Jornada completa,Más de 5 años,Indefinido,,
Analista de Datos,https://www.tecnoempleo.com/analista-datos-remoto/talend-bi-sql/rf-6e5b12a03275b34d4d45,258,100% En remoto,Analista,Jornada completa,3 años,Indefinido,24000,27000
Experto en IBM,https://www.tecnoempleo.com/experto-en-ibm-madrid/openshift-api-rest-github-kubernetes/rf-00221786c283c3daf64e,3,"España -  
											
											Madrid											
											 - España",Programador,Jornada completa,3-5 años,Indefinido,,
Ingeniero/a de datos AWS,https://www.tecnoempleo.com/ingeniero-datos-aws-hibrido/aws-cloud-sql-nosql-ci-dc-python/rf-b44d1d98c2e623887d45,5,Barcelona (Híbrido),Big Data,Jornada completa,1 año,Indefinido,27000,30000
Técnico/a Micro,https://www.tecnoempleo.com/tecnico-micro-presencial/directorio-activo-ticketing-windows-office-365/rf-23d7139aa24543403b47,11,Bizkaia (Presencial),Soporte Técnico,Jornada completa,3 años,A determinar,,
SAP ABAP Developer,https://www.tecnoempleo.com/sap-abap-developer-presencial/sap-abap/rf-1da71fede29c63ab8a4c,2,Castellón (Presencial),Analista Programador,Jornada completa,3-5 años,Indefinido,,
Desarrollador Web,https://www.tecnoempleo.com/desarrollador-web-hibrido/react-redux-typescript-javascript-css-html-nodej/rf-d550176532c1d33ad840,198,Madrid (Híbrido),Desarrollador Web,Jornada completa,3-5 años,Indefinido,,
Arquitecto/a de Sistemas (Azure),https://www.tecnoempleo.com/arquitecto-sistemas-azure-hibrido/azure-microsoft-linux-nagios-centreon-za/rf-f8af1c494242337a5649,5,Asturias (Híbrido),Administrador,Jornada completa,Más de 5 años,Indefinido,39000,45000
Ingeniero/a Desarrollador/a Senior .NET Angular,https://www.tecnoempleo.com/ingeniero-desarrollador-senior-net-angular-hibrido/net-angular-git/rf-de661f2242882378d84e,14,Madrid (Híbrido),Programador,Jornada completa,Más de 5 años,Indefinido,36000,48000
Técnico de Sistemas,https://www.tecnoempleo.com/tecnico-sistemas-hibrido/vmware-hyper-v-backup-hpe-veeam-hpe-san-sas-iscsi/rf-438c1ac9627263ce0447,18,Valencia (Híbrido),Técnico de Sistemas,Jornada completa,Más de 5 años,Indefinido,,
SAP ABAP Developer,https://www.tecnoempleo.com/sap-abap-developer-castellon/sap-abap/rf-380514a4827e133fa945,4,"Castellón											
											 - España",Programador,Jornada completa,3-5 años,Indefinido,,
Técnico de Soporte Temporal,https://www.tecnoempleo.com/tecnico-soporte-temporal-presencial/soporte-microinformatica/rf-c2e51eb1828943132a43,49,Barcelona (Presencial),Soporte Técnico,Jornada completa,1 año,Indefinido,16000,16000
Power BI Consultant (I&D),https://www.tecnoempleo.com/power-bi-consultant-i-d-hibrido/power-bi-tableau-data-services-qlik/rf-2a521c47322683cde34a,186,Barcelona (Híbrido),Analista Programador,Jornada completa,3-5 años,Indefinido,,
DevOps Integrador,https://www.tecnoempleo.com/devops-integrador-hibrido/openshift-docker-kubernetes-terraform-prometheus/rf-4d1811bdf2aba3bb444b,14,Madrid (Híbrido),DevOps,Jornada completa,3 años,Indefinido,,
Senior Hardware Verification Engineer,https://www.tecnoempleo.com/senior-hardware-verification-engineer-hibrido/c-c-systemverilog/rf-f4761d30a2eb13c9c946,2,Barcelona (Híbrido),Técnico Hardware,Jornada completa,3-5 años,Indefinido,,
Technical Support IoT,https://www.tecnoempleo.com/technical-support-iot-hibrido/iot-windows-linux/rf-29a519c1f21ad37e134f,29,Madrid (Híbrido),Soporte Técnico,Jornada completa,1 año,Indefinido,24000,30000
Desarrollador Fullstack Senior + Ingles,https://www.tecnoempleo.com/desarrollador-fullstack-senior-ingles-hibrido/java-angular/rf-1d7e1b1a0269e3659347,9,Madrid (Híbrido),Analista Programador,Jornada completa,3 años,Indefinido,,
Analista Programador,https://www.tecnoempleo.com/analista-programador-hibrido/php-mysql-html-css-javascript-angular/rf-af8b1433c272038c354a,43,Zaragoza (Híbrido),Analista Programador,Jornada completa,2 años,Indefinido,,
Técnico/a micro,https://www.tecnoempleo.com/tecnico-micro-presencial/windows-office-software-hardware/rf-d8a91055220a23b6e14b,15,Bizkaia (Presencial),Soporte Técnico,Turno rotatorio,1 año,A determinar,,
Cloud Consultant,https://www.tecnoempleo.com/cloud-consultant-remoto/cloud-aws-azure-gcp-terraform-bbdd-lynix-mysql-dev/rf-9ff618989201d3582c41,53,100% En remoto,Arquitecto TIC,Jornada completa,Más de 10 años,Indefinido,36000,54000
Programador Senior PHP (H/M),https://www.tecnoempleo.com/programador-senior-php-h-m-gipuzkoa/php-laravel-symfony/rf-c65d13ae020cc3885d47,27,"Gipuzkoa											
											 - España",Desarrollador Web,Jornada completa,3 años,Indefinido,,
Analista de Automatización de Procesos,https://www.tecnoempleo.com/analista-automatizacion-procesos-remoto/access-excel-python-powershell/rf-62c31899d2a593505042,61,100% En remoto,Analista,Jornada completa,2 años,Indefinido,,
Analista Técnico Cobol,https://www.tecnoempleo.com/analista-tecnico-cobol-hibrido/cobol-jcl-db2/rf-e21a1a6cf24b9386dc41,4,Madrid (Híbrido),Analista,Jornada completa,Más de 5 años,Indefinido,,
Técnico/a HW Junior,https://www.tecnoempleo.com/tecnico-hw-junior-hibrido/electronica-hardware/rf-5b351a7fc2e043f47345,19,Madrid (Híbrido),Electrónica,Jornada completa,2 años,Indefinido,,
Líder Técnico de Cargas Útiles RF,https://www.tecnoempleo.com/lider-tecnico-cargas-tiles-rf-hibrido/c-matlab-simulink/rf-33f119c602da63dffa4b,8,Madrid (Híbrido),Ingenieros/Industria,Jornada completa,Más de 5 años,Indefinido,,
Responsable de Desarrollo de Software,https://www.tecnoempleo.com/responsable-desarrollo-software-hibrido/java-angular-android-aws/rf-55301c9ca295a3d75649,18,Granada (Híbrido),Jefe de Equipo,Jornada completa,Más de 5 años,Indefinido,60000,72000
Desarrollador/a de Software .NET Senior,https://www.tecnoempleo.com/desarrollador-software-net-senior-valladolid/net-c-jira/rf-4d9710f2426c934e9342,9,"Valladolid											
											 - España",Programador,Jornada completa,3-5 años,Indefinido,,
Marketing Manager,https://www.tecnoempleo.com/marketing-manager-presencial/marketing/rf-def21f47f2e3a39ed44c,17,Madrid (Presencial),Marketing,Jornada completa,3-5 años,Indefinido,33000,42000
Técnico de sistemas (Inglés alto),https://www.tecnoempleo.com/tecnico-sistemas-ingles-alto-presencial/navision-windows/rf-4f051d1c220243a4cc48,17,Madrid (Presencial),Técnico de Sistemas,Jornada completa,3 años,Indefinido,,
Analista Funcional SuccessFactors,https://www.tecnoempleo.com/analista-funcional-successfactors-madrid/successfactors-sap/rf-8423142d320473cba247,11,"Madrid											
											 - España",Analista,Jornada completa,3-5 años,Indefinido,,
Mantenimiento SAP (FREELANCE),https://www.tecnoempleo.com/mantenimiento-sap-freelance-sevilla/sap-sap-bussiness-one/rf-ce1813951249634f7e4f,5,"Sevilla											
											 - España",Técnico de Mantenimiento,Jornada completa,3 años,Freelance/Autónomo,,
Arquitecto/a empresarial IT,https://www.tecnoempleo.com/arquitecto-empresarial-it-madrid/software/rf-b38113e04260b3fe7f43,12,"Madrid											
											 - España",Arquitecto TIC,Jornada completa,Más de 5 años,Indefinido,72000,84000
Tech Lead Java - Posibilidad Remoto,https://www.tecnoempleo.com/tech-lead-java-posibilidad-remoto-remoto/java/rf-f1ca157242eae367a74b,28,100% En remoto,Arquitecto TIC,Jornada completa,Más de 5 años,Indefinido,74000,100000
Chief Information Officer (CIO),https://www.tecnoempleo.com/chief-information-officer-cio-madrid/sap-hana/rf-abe116eb22ba13e3b044,8,"Madrid											
											 - España",Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,,
Content Project Manager,https://www.tecnoempleo.com/content-project-manager-madrid/marketing-rrss/rf-13fb1ca01265334efb46,32,"Madrid											
											 - España",Marketing,Jornada completa,3-5 años,Indefinido,33000,36000
Responsable sistema gestión de calidad,https://www.tecnoempleo.com/responsable-sistema-gestion-calidad-zaragoza/calidad-iso/rf-16d11e2cb26ae353844d,9,"Zaragoza											
											 - España",Sistemas de Calidad,Jornada completa,Más de 5 años,Indefinido,39000,45000
Programador .Net (H/M),https://www.tecnoempleo.com/programador-net-h-m-gipuzkoa/net-c-html-javascript/rf-4bfd1c8cd2eab31d8946,16,"Gipuzkoa											
											 - España",Programador,Jornada completa,2 años,Indefinido,,
Gestor E-commerce,https://www.tecnoempleo.com/gestor-e-commerce-barcelona/shopify-amazon/rf-fd2814bc225c03cb6143,10,"Barcelona											
											 - España",Técnico de Gestión,Jornada completa,3 años,Indefinido,,
Ingeniero/a de software C/C++,https://www.tecnoempleo.com/ingeniero-software-c-c-hibrido/c-c-python/rf-a84f1a66f2a413774a48,28,Madrid (Híbrido),Programador,Jornada completa,2 años,Indefinido,,
Consultor SAP Senior MM,https://www.tecnoempleo.com/consultor-sap-senior-mm-remoto/sap-sap4hana/rf-1bf21dc83204f3181f4a,21,100% En remoto,Consultor,Jornada completa,3-5 años,Indefinido,54000,72000
CRM Specialist (Splio) (h/m),https://www.tecnoempleo.com/crm-specialist-splio-h-m-barcelona/splio-marketing/rf-f7ca1e0cb29333645b40,6,"Barcelona											
											 - España",Marketing,Jornada completa,3 años,Indefinido,30000,30000
Senior C Developer,https://www.tecnoempleo.com/senior-c-developer-hibrido/c-c/rf-ca3c127a4219d3b8e54b,5,Barcelona (Híbrido),Programador,Jornada completa,Más de 5 años,Indefinido,39000,45000
Junior systems engineer,https://www.tecnoempleo.com/junior-systems-engineer-hibrido/linux-mbse-python/rf-b23e1943129c732dc340,53,Madrid (Híbrido),Técnico de Sistemas,Jornada completa,1 año,Indefinido,,
Software QA Manual,https://www.tecnoempleo.com/software-qa-manual-hibrido/qa-python-java/rf-bcee1f7522861341e94c,82,Barcelona (Híbrido),Tester,Jornada completa,3 años,Indefinido,24000,30000
Senior Frontend Engineer,https://www.tecnoempleo.com/senior-frontend-engineer-barcelona/javascript-typescript-react-jest/rf-9a9e193212f5930a1e44,15,"Barcelona											
											 - España",Programador,Jornada completa,3-5 años,Indefinido,48000,72000
Ingeniero de proyectos,https://www.tecnoempleo.com/ingeniero-proyectos-madrid/presto-bim-cad/rf-f37317c902b913eba045,6,"Madrid											
											 - España",Ingenieros/Industria,Jornada completa,Más de 5 años,Indefinido,,
Arquitecto Soluciones,https://www.tecnoempleo.com/arquitecto-soluciones-hibrido/net-azure/rf-517b1d4cd22023844542,5,Madrid (Híbrido),Arquitecto TIC,Jornada completa,3-5 años,Indefinido,54000,60000
Ingeniero/a de Diseño Electrónico,https://www.tecnoempleo.com/ingeniero-diseno-electronico-hibrido/electronica-altium/rf-4c27115172fdf3403a44,7,Valladolid (Híbrido),Electrónica,Jornada completa,3 años,Indefinido,,
Project Manager Salesforce and Dynamics,https://www.tecnoempleo.com/project-manager-salesforce-and-dynamics-hibrido/salesforce-dynamics-365/rf-e51618f7122923ad384d,8,Barcelona (Híbrido),Jefe de Proyecto,Jornada completa,3 años,Indefinido,30000,36000
Service Manager (Data Center&Cloud),https://www.tecnoempleo.com/service-manager-data-center-cloud-barcelona/cloud-sap-fi-co-servicenow/rf-423d1464428b83695343,16,"Barcelona											
											 - España",Jefe de Equipo,Jornada completa,3-5 años,Indefinido,42000,48000
Programador Java Springboot + Angular,https://www.tecnoempleo.com/programador-java-springboot-angular-remoto/angular-java-spring/rf-71731507c2d2e321764d,21,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,,
Desarrollador/a Delphi,https://www.tecnoempleo.com/desarrollador-delphi-hibrido/delphi-sql/rf-dd551856d28c13a6e44c,8,Sevilla (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
Ingeniero de sistemas,https://www.tecnoempleo.com/ingeniero-sistemas-barcelona/vmware-vsphere-active-directory/rf-f266189802f823239140,18,"Barcelona											
											 - España",Técnico de Sistemas,Jornada completa,2 años,Indefinido,24000,33000
Técnico/a Soporte N1 (Temp),https://www.tecnoempleo.com/tecnico-soporte-n1-temp-valencia/soporte-microinformatica/rf-560819585237834d9a40,30,"Valencia											
											 - España",Soporte Técnico,Jornada completa,2 años,Temporal,,
Desarrollador  Control-M,https://www.tecnoempleo.com/desarrollador-control-m-ciudad-real/control-m-qliksense/rf-6a4013ea5298a32d744f,9,"Madrid -  
											
											Ciudad Real											
											 - España",Big Data,Jornada completa,2 años,Indefinido,,
Administrador de Aplicaciones,https://www.tecnoempleo.com/administrador-aplicaciones-remoto/shellscript-devops-github-sqlserver/rf-760c1be19278230d5c42,33,100% En remoto,Administrador,Jornada completa,3-5 años,Indefinido,,
Senior C++ Developer,https://www.tecnoempleo.com/senior-c-developer-hibrido/c-c/rf-b83014391285c3238f41,5,Barcelona (Híbrido),Programador,Jornada completa,3-5 años,Indefinido,,
Administrador/a Wintel,https://www.tecnoempleo.com/administrador-wintel-hibrido/windows-iis-midelware-tomcat/rf-3ea51e0c020883497a4d,23,Madrid (Híbrido),Administrador,Jornada completa,3-5 años,Indefinido,24000,33000
Technical Lead Java SPRINGBOOT SQL,https://www.tecnoempleo.com/technical-lead-java-springboot-sql-remoto/java-springboot-sql/rf-b1821445926fb36caf48,28,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,,
Desarollador/a Frontend JS-Angular,https://www.tecnoempleo.com/desarollador-frontend-js-angular-remoto/react-javascript-angular-nodejs-re/rf-230912bcd2bac3f7c34e,442,100% En remoto,Desarrollador Móvil,Jornada completa,3 años,Indefinido,30000,36000
Data Engineer,https://www.tecnoempleo.com/data-engineer-remoto/data-scala-python-databricks-sql/rf-2b7e1fd772e8431ef94e,50,100% En remoto,Base de Datos/DBA,Jornada completa,3-5 años,Indefinido,,
Experto en SQL - Reporting,https://www.tecnoempleo.com/experto-en-sql-reporting-hibrido/sql/rf-3e3b1c5c2254b3ae194c,32,Madrid (Híbrido),Consultor,Jornada completa,3 años,Indefinido,,
Desarrollador/a .NET,https://www.tecnoempleo.com/desarrollador-net-presencial/net-c/rf-ef38121f32139342db4c,19,Cantabria (Presencial),Programador,Jornada completa,1 año,Indefinido,,
Administrador de Sistemas,https://www.tecnoempleo.com/administrador-sistemas-presencial/windows-linux-azure-o365/rf-88e812de1286e34b2f46,15,Bizkaia (Presencial),Técnico de Sistemas,Jornada completa,1 año,A determinar,,
Desarrollador/a Java Senior,https://www.tecnoempleo.com/desarrollador-java-senior-hibrido/java-spring-hibernate/rf-a53d1d90521c03992440,12,Granada (Híbrido),Programador,Jornada completa,Más de 5 años,Indefinido,54000,60000
Desarrollador Java - Arquitectura ASO,https://www.tecnoempleo.com/desarrollador-java-arquitectura-aso-remoto/java-aso-apx/rf-67671587a24103631b47,27,100% En remoto,Programador,Jornada completa,3 años,Indefinido,,
Project Manager,https://www.tecnoempleo.com/project-manager-madrid/project-manager/rf-8a6b129f5260b30d4842,60,"Madrid											
											 - España",Jefe de Proyecto,Jornada completa,3-5 años,Indefinido,39000,54000
Ingeniero/a de software e IA,https://www.tecnoempleo.com/ingeniero-software-e-ia-hibrido/java-javascript-python-inteligencia-artifi/rf-e016197572a0d317974d,38,Madrid (Híbrido),Inteligencia Artificial/Machine Learning,Jornada completa,3 años,Indefinido,,
Ingeniero/a Full-Stack,https://www.tecnoempleo.com/ingeniero-full-stack-hibrido/java-python-javascript/rf-dd4610de222e03824f4a,21,Madrid (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
Técnico Ciberseguridad L3,https://www.tecnoempleo.com/tecnico-ciberseguridad-l3-hibrido/ciberseguridad-siem/rf-6a9c1f50b2fe33be7343,7,Bizkaia (Híbrido),Ciberseguridad,Jornada completa,3-5 años,Indefinido,,
Ingeniero/a de instalaciones,https://www.tecnoempleo.com/ingeniero-instalaciones-zaragoza/autocad-cypmep-cypelec/rf-23b9182b426b632d834d,0,"Zaragoza											
											 - España",Ingenieros/Industria,Jornada completa,3 años,Indefinido,,
Programador .Net,https://www.tecnoempleo.com/programador-net-hibrido/net-c/rf-57271799e21df3a52149,13,Valencia (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
Arquitecto de datos - 100% remoto,https://www.tecnoempleo.com/arquitecto-datos-100-remoto-remoto/python-azure-databricks/rf-0ded130b72d58378cc49,31,100% En remoto,Arquitecto TIC,Jornada completa,3 años,Indefinido,39000,54000
Senior C++ Developer,https://www.tecnoempleo.com/senior-c-developer-hibrido/c-qt/rf-5af8179cb2acf3db6c47,9,Alicante (Híbrido),Programador,Jornada completa,2 años,Indefinido,,
Técnico/a de Procesos,https://www.tecnoempleo.com/tecnico-procesos-gipuzkoa/electronica/rf-8eff117e425853270848,4,"Gipuzkoa											
											 - España",Electrónica,Jornada completa,3 años,Indefinido,30000,36000
Ingeniero/a software senior Java,https://www.tecnoempleo.com/ingeniero-software-senior-java-hibrido/java/rf-1f201f1d526de3b82044,13,Madrid (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
Analista Funcional en Pagos Internacionales,https://www.tecnoempleo.com/analista-funcional-en-pagos-internacionales-remoto/pagos-agile/rf-5fed1a00c27f53a59342,13,100% En remoto,Analista,Jornada completa,3 años,Indefinido,,
SAP PM QM,https://www.tecnoempleo.com/sap-pm-qm-barcelona/sap/rf-f3fd17695240e3f63040,3,"Barcelona											
											 - España",Consultor,Jornada completa,3-5 años,Indefinido,45000,60000
Técnico de Marketing Digital,https://www.tecnoempleo.com/tecnico-marketing-digital-hibrido/marketing-photoshop-indesign/rf-8e27109dd278c3d5a540,125,Madrid (Híbrido),Diseño gráfico,Jornada completa,3 años,Indefinido,27000,30000
Arquitecto de software microservicios,https://www.tecnoempleo.com/arquitecto-software-microservicios-madrid/java-microservicios/rf-e64d17fd622cd3fe9347,17,"Madrid											
											 - España",Arquitecto TIC,Jornada completa,3-5 años,Indefinido,45000,48000
Técnico Administrador Sistemas y BBDD,https://www.tecnoempleo.com/tecnico-administrador-sistemas-bbdd-presencial/windows-linux-postgresql-mo/rf-6fec17b3b23873eca641,49,Valencia (Presencial),Base de Datos/DBA,Jornada completa,1 año,Indefinido,,
Desarrollador Senior ASO & APX,https://www.tecnoempleo.com/desarrollador-senior-aso-apx-remoto/java-apx-aso/rf-7460140302d653edba41,26,100% En remoto,Desarrollador Web,Jornada completa,2 años,Indefinido,39000,39000
Desarrolladores/as Senior entorno .NET,https://www.tecnoempleo.com/desarrolladores-senior-entorno-net-barcelona/net-i4gl-php-power-builder/rf-158c18323216337f504b,16,"Barcelona											
											 - España",Analista Programador,Jornada completa,2 años,Indefinido,,
Gestor de Proyectos de aplicaciones,https://www.tecnoempleo.com/gestor-proyectos-aplicaciones-presencial/mysql-sql-server-oracle-etl/rf-a62819db42c1031e274b,9,La Rioja (Presencial),Jefe de Proyecto,Jornada completa,3-5 años,Indefinido,,
Responsable IT dep. postventa,https://www.tecnoempleo.com/responsable-it-dep-postventa-barcelona/ticketing-jira/rf-99a11021722a83b53340,14,"Barcelona											
											 - España",Soporte Técnico,Jornada completa,Más de 5 años,Indefinido,48000,60000
Marketing Manager,https://www.tecnoempleo.com/marketing-manager-presencial/marketing/rf-86261c47a2ca1393c44c,13,Barcelona (Presencial),Marketing,Jornada completa,3-5 años,Indefinido,,
Programador/a Natural Adabas,https://www.tecnoempleo.com/programador-natural-adabas-remoto/adabas-natural/rf-aa09118482efd3f38341,22,100% En remoto,Programador,Jornada completa,2 años,Indefinido,,
Consultor Comercial Sage 200,https://www.tecnoempleo.com/consultor-comercial-sage-200-hibrido/sage-200/rf-19a4134f5236e3b41e45,6,Barcelona (Híbrido),Consultor,Jornada completa,3 años,Indefinido,27000,30000
Analista COBOL/DB2/Inglés,https://www.tecnoempleo.com/analista-cobol-db2-ingles-hibrido/cobol-jcl-ims-db2/rf-06791e87623d83459b4f,10,Madrid (Híbrido),Analista,Jornada completa,3-5 años,Indefinido,,
Desarrollador Backend con Discapacidad,https://www.tecnoempleo.com/desarrollador-backend-con-discapacidad-hibrido/java-python-api/rf-72851ba11252b3313540,9,Barcelona (Híbrido),Programador,Jornada completa,1 año,Indefinido,33000,80000
Testing Funcional/Inglés/Remoto/Banca,https://www.tecnoempleo.com/testing-funcional-ingles-remoto-banca-remoto/testing-jira-postman/rf-da6913b92273134a2a4e,38,100% En remoto,Tester,Jornada completa,3 años,Indefinido,,
Desarrollador/a con Jasper Report,https://www.tecnoempleo.com/desarrollador-con-jasper-report-presencial/java-jasper-report/rf-417910b232c43310d148,18,Madrid (Presencial),Programador,Jornada completa,1 año,Indefinido,,
Consultor Calypso Banco España,https://www.tecnoempleo.com/consultor-calypso-banco-espana-hibrido/calypso-oracle-sql-controlm/rf-0649126a8236130b564b,20,Madrid (Híbrido),Analista,Jornada completa,3 años,Indefinido,,
Ingeniero de Redes,https://www.tecnoempleo.com/ingeniero-redes-madrid/redes/rf-2c13134d321ee3ce9b48,11,"Madrid											
											 - España",Redes,Jornada completa,3 años,Indefinido,33000,42000
Administrador de Sistemas Linux,https://www.tecnoempleo.com/administrador-sistemas-linux-remoto/linux-sccm-qualys/rf-1f3a150562e68347e942,37,100% En remoto,Técnico de Sistemas,Jornada completa,3-5 años,Indefinido,,
Ingeniero Sistemas Embebidos (h/m),https://www.tecnoempleo.com/ingeniero-sistemas-embebidos-h-m-bizkaia/c-c/rf-b6a21da8d2c113ff4541,10,"Bilbao -  
											
											Bizkaia											
											 - España",Electrónica,Jornada completa,1 año,Indefinido,,
Programador de Autómatas,https://www.tecnoempleo.com/programador-automatas-huelva/ecostruxure-archestra/rf-7cf8193bc22b93d56048,1,"Huelva											
											 - España",Ingenieros/Industria,Jornada completa,2 años,Indefinido,,
Data Analyst Supply Chain,https://www.tecnoempleo.com/data-analyst-supply-chain-hibrido/qliksense-power-bi-sql/rf-7c1f1bcbc25a23277540,9,Barcelona (Híbrido),Analista,Jornada completa,3-5 años,Indefinido,48000,72000
Senior Frontend Developer,https://www.tecnoempleo.com/senior-frontend-developer-remoto/javascript-css-angular-react/rf-2877174e224553b40149,31,100% En remoto,Programador,Jornada completa,3 años,Indefinido,42000,48000
Técnico de Parcheos,https://www.tecnoempleo.com/tecnico-parcheos-remoto/linux-ansible/rf-3d801e3762f5d3d14e41,12,100% En remoto,Administrador,Jornada completa,3-5 años,Indefinido,,
SAP Técnico CO-PA,https://www.tecnoempleo.com/sap-tecnico-co-pa-madrid/sap/rf-5c3d12dd72d4d3db6948,5,"Madrid											
											 - España",Consultor,Jornada completa,3-5 años,Indefinido,48000,54000
SAS Analyst,https://www.tecnoempleo.com/sas-analyst-madrid/sas-sql/rf-cfe3171b6256c3e06242,1,"Madrid											
											 - España",Analista,Jornada completa,3 años,Indefinido,,
Técnico especialista en networking,https://www.tecnoempleo.com/tecnico-especialista-en-networking-gipuzkoa/aruba-cisco-fortinac/rf-07f21444c27cf3b4704c,1,"Gipuzkoa											
											 - España",Redes,Jornada completa,3 años,Indefinido,,
Técnico comunicación,https://www.tecnoempleo.com/tecnico-comunicacion-madrid/rrss/rf-fe6813c4c257f3171d42,26,"Madrid											
											 - España",Técnico de Gestión,Jornada completa,Más de 5 años,Indefinido,27000,33000
Analista Programador/a PL/SQL (Inglés),https://www.tecnoempleo.com/analista-programador-pl-sql-ingles-hibrido/oracle-pl-sql-oracle-forms/rf-34ab19b3c280a3496f42,8,Bizkaia (Híbrido),Analista Programador,Jornada completa,3 años,Indefinido,,
Administrador VMWARE,https://www.tecnoempleo.com/administrador-vmware-hibrido/vmware-windows-server/rf-3e871e1a427e831ff149,53,Madrid (Híbrido),Administrador,Jornada completa,3 años,Indefinido,,
